 strategy,threshold_regime,scaling_point,n_runs,selected_threshold_mean,selected_threshold_std,selected_threshold_min,selected_threshold_max,test_mcc_mean,test_mcc_std,test_mcc_min,test_mcc_max,test_recall_mean,test_recall_std,test_recall_min,test_recall_max,test_specificity_mean,test_specificity_std,test_specificity_min,test_specificity_max,validation_mcc_mean,validation_mcc_std,validation_mcc_min,validation_mcc_max,validation_recall_mean,validation_recall_std,validation_recall_min,validation_recall_max,validation_specificity_mean,validation_specificity_std,validation_specificity_min,validation_specificity_max,test_precision_mean,test_precision_std,test_precision_min,test_precision_max,test_f1_mean,test_f1_std,test_f1_min,test_f1_max,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_false_positive_rate_mean,test_false_positive_rate_std,test_false_positive_rate_min,test_false_positive_rate_max,test_false_positives_per_1000_negatives_mean,test_false_positives_per_1000_negatives_std,test_false_positives_per_1000_negatives_min,test_false_positives_per_1000_negatives_max
FedProx,mcc_optimal,2,5,0.7451138377189637,0.0155988217823799,0.7297245860099792,0.7698737978935242,0.3678386775658973,0.0019239154177212,0.3653988948102357,0.370071227190854,0.6102419012590181,0.0248748032361624,0.5866459188003961,0.6442212477012307,0.8346661170651279,0.0130794694027231,0.8159521846661171,0.8468672712283595,0.3810801180681306,0.0034460095093214,0.3764763970224335,0.3846173480223976,0.6194059405940594,0.0250530148160358,0.5985855728429986,0.6568599717114568,0.8394448770210232,0.012904227493111,0.8208674941602162,0.8523794256400861,0.3744728858575936,0.0087669074947113,0.36168691922802,0.3827764445264907,0.4637758781222846,0.0011254880919227,0.4624398872367475,0.4650992302455883,0.722454009162073,0.0059368870387783,0.7167565950143777,0.7300867161836739,0.1653338829348721,0.0130794694027231,0.1531327287716405,0.1840478153338829,165.33388293487218,13.079469402723133,153.13272877164053,184.04781533388297
FedProx,mcc_optimal,4,5,0.7346866488456726,0.0247211472423117,0.7102178335189819,0.767267107963562,0.3674218266187349,0.0018822903585994,0.3647346343275645,0.3700567061443411,0.6219833073985005,0.0391835659818089,0.576884990804923,0.6619040882727402,0.8273197764953741,0.0214636866042976,0.806242557479161,0.8529128881560868,0.3760458361610104,0.0028643577021346,0.371702505661958,0.3787724654868633,0.6241584158415842,0.0412278706783511,0.5770862800565771,0.6633663366336634,0.8327027893555627,0.021396861730354,0.812577291256355,0.8580589016626208,0.3695229570131889,0.0148150610450506,0.3560882800608828,0.3883439672412151,0.4626877201935138,0.0010355053718491,0.4615076984603079,0.4642003414911781,0.7246515419469374,0.0088795678277595,0.7148989394805049,0.7340733228759506,0.1726802235046258,0.0214636866042976,0.1470871118439132,0.193757442520839,172.68022350462584,21.46368660429764,147.08711184391322,193.75744252083905
FedProx,mcc_optimal,8,5,0.711932110786438,0.0252495078526297,0.6748619675636292,0.7356060147285461,0.3629467863682957,0.0008353331874505,0.3618386982162018,0.364172342662638,0.645664167491866,0.0440703955005557,0.6111189701513651,0.7087282501060971,0.8094531464688103,0.0272828744074096,0.7700375561051571,0.8306769258953925,0.3757227683447406,0.0038102860616958,0.3711871185563389,0.3798111916583888,0.6544837340876946,0.0426967744729531,0.6152758132956153,0.7154172560113154,0.8146200705354281,0.0268678488958406,0.7757981037878441,0.8345165575046948,0.3557459258495706,0.0163076715268724,0.3328461334041988,0.368789482670309,0.4576596903410634,0.0031923471453078,0.4529632475927851,0.4605684863132454,0.7275586569803381,0.00840933311593,0.7208462341779152,0.7393829031056272,0.1905468535311898,0.0272828744074095,0.1693230741046074,0.2299624438948428,190.54685353118987,27.282874407409604,169.32307410460746,229.9624438948429
FedProx,mcc_optimal,16,5,0.6991792321205139,0.0290528279664703,0.671056866645813,0.743622362613678,0.3590322345608432,0.00120287460983,0.357823279615183,0.3607667037278394,0.6624133540811996,0.0381546499060733,0.6012165794313199,0.6957136794454661,0.7959466886507283,0.0236770306831026,0.7743198680956307,0.8328982321150499,0.3701628107367185,0.0028296787723984,0.3668436338138054,0.3746651972169162,0.667043847241867,0.0368218612584819,0.6070721357850071,0.7018387553041019,0.802619887326524,0.022921042031727,0.7805615352906151,0.8383639444877021,0.3455785911105968,0.0143156145110215,0.3329046232992622,0.3680609682168528,0.4533838801796194,0.0028337984861662,0.4503250618075268,0.4565964761495488,0.7291800213659638,0.0072914226974514,0.7170574057731849,0.7350167737705484,0.2040533113492717,0.0236770306831026,0.1671017678849501,0.2256801319043693,204.05331134927175,23.67703068310261,167.10176788495014,225.68013190436932
FedProx,mcc_optimal,32,5,0.6325736045837402,0.1558007192610568,0.3554819226264953,0.729727029800415,0.3486969145662017,0.0030528811524534,0.3460568746810577,0.3526036865024459,0.6552836327627671,0.0264492550084887,0.6111189701513651,0.6811430188145424,0.7916094165063663,0.0184231051428046,0.7726023632866172,0.8214940001832005,0.3609582443049204,0.0070826656354241,0.3493277883768539,0.3687236023898366,0.6613295615275814,0.0251628141609674,0.6178217821782178,0.6789250353606789,0.79848852654239,0.0178825463814269,0.7778592039573123,0.8260431456968809,0.337985820750639,0.0115275624829978,0.3265513733468972,0.3565827486586875,0.4455083271698138,0.0038239010204633,0.4414596130925094,0.4503753127606338,0.7234465246345666,0.0042331613200511,0.7163064851672828,0.7268726910505798,0.2083905834936337,0.0184231051428046,0.1785059998167995,0.2273976367133827,208.39058349363376,18.423105142804665,178.5059998167995,227.39763671338275
FedProx,mcc_optimal,64,5,0.6984179854393006,0.0320381452197457,0.6695119738578796,0.7435513734817505,0.3503096424778006,0.0033321245671791,0.3463130686683519,0.3544597771883823,0.6549441222237941,0.0573181054804757,0.5740557363134814,0.7051916819917952,0.7925712191994138,0.0336191855144364,0.7624347348172575,0.8391499496198589,0.3610503110359213,0.0040390172271338,0.3552697686400142,0.3661155648357922,0.660990099009901,0.0532447196447812,0.5898161244695899,0.7072135785007072,0.7980305042825081,0.0329124706049175,0.7701644299912975,0.8449594650300004,0.3402161145626677,0.018062528902954,0.3243597301368965,0.3661793900018047,0.4461892329113316,0.0021591812098023,0.4434097421203438,0.4487083489329839,0.7237576707116038,0.0119252661457023,0.7066028429666702,0.7338132084045264,0.2074287808005862,0.0336191855144364,0.1608500503801411,0.2375652651827424,207.42878080058625,33.61918551443642,160.8500503801411,237.56526518274245
FedProx,mcc_optimal,128,5,0.6761372089385986,0.0325011806814529,0.6354466676712036,0.7089589834213257,0.3512626952368657,0.0025784952679959,0.3487077183776964,0.3553072215395584,0.6812844815391144,0.045287408340104,0.6326213042863206,0.7398500495119535,0.7764449940459833,0.0317191407795183,0.7342905560135569,0.8117614729321242,0.3640401722044576,0.0044727928671767,0.3588538793912967,0.369745997750781,0.6893917963224894,0.0483432083530846,0.6333804809052334,0.7465346534653465,0.7827875234736409,0.0317844117405384,0.742225072138506,0.8176613383410434,0.3318943911503032,0.01652680163481,0.3106992217667677,0.3523479357075323,0.4452953068372298,0.0055839323650843,0.4376202828215212,0.4526086736501189,0.7288647377925489,0.0068577771970924,0.7221913886092224,0.7370703027627552,0.2235550059540166,0.0317191407795183,0.1882385270678758,0.2657094439864431,223.55500595401665,31.719140779518376,188.2385270678758,265.70944398644315
FedProx,mcc_optimal,256,5,0.6434939563274383,0.1033848876924793,0.4670514166355133,0.7185571193695068,0.3471756298639469,0.0046142206951654,0.3405088521050106,0.3508773720453637,0.6566133823737446,0.0515041477222182,0.6159287027868157,0.7418305276559627,0.7886461482092149,0.0354393700683614,0.7281533388293487,0.8175322890904094,0.3603690121289508,0.0039232367039475,0.357173827017429,0.3647890632389479,0.6647807637906648,0.0514521087078666,0.6240452616690241,0.751909476661952,0.7950258782576834,0.0350776191487969,0.7351257271103375,0.821325516420098,0.3365770154141636,0.0178916903839828,0.3063978965819456,0.3537188741990429,0.4437089102689753,0.0063922527837287,0.4336751571286801,0.4496339828848334,0.7226297652914797,0.0084891178209325,0.7127916849099416,0.7349919332426558,0.2113538517907849,0.0354393700683614,0.1824677109095905,0.2718466611706512,211.35385179078503,35.4393700683615,182.46771090959055,271.84666117065126
FedProx,mcc_optimal,512,5,0.6940200924873352,0.042149725022325,0.6385380029678345,0.7432970404624939,0.3521596333289976,0.0028887137639639,0.3471490825169077,0.354091642772368,0.6559060687508842,0.0565241927227251,0.586504456075824,0.7275427924741831,0.7932215810204268,0.0379857901724462,0.7415498763396537,0.8372721443620043,0.3628845585194311,0.0039119203985866,0.3559629407986984,0.3655798271040919,0.662065063649222,0.0569132868046548,0.5909476661951909,0.7335219236209335,0.7985618101039711,0.0382396198831418,0.7462098657994779,0.8431731782164613,0.3419294577963935,0.0220515141795026,0.3130440075476292,0.3684678279416992,0.4476767766718655,0.0060905972630348,0.4377393820750702,0.4525953823481251,0.7245638248856554,0.0094535617029925,0.7118883002189141,0.7345463344069184,0.206778418979573,0.0379857901724462,0.1627278556379957,0.2584501236603462,206.77841897957313,37.985790172446286,162.72785563799573,258.45012366034626
FedProx,mcc_optimal,1024,5,0.6765053033828735,0.0243175135361034,0.6521395444869995,0.7034011483192444,0.35189624613557,0.00135966824801,0.3504950468881794,0.3540200524840337,0.6726552553402179,0.0310492151166079,0.6388456641674919,0.7043429056443627,0.7832325730512045,0.0201312104889741,0.7621141339195749,0.8054410552349547,0.3617668309539598,0.002694429778184,0.3595867301564614,0.3652718401878788,0.6774540311173973,0.0334364118002738,0.6427157001414427,0.7134370579915135,0.7890257866532313,0.019295363976995,0.7690651765675812,0.8092337287592177,0.3350202529825678,0.0105543328246049,0.3240059868549489,0.3470642483861051,0.4467940013987969,0.0026835053544093,0.4438402567302549,0.4497783974901648,0.7279439141957111,0.005525787896957,0.7218478698301396,0.7332285197819688,0.2167674269487954,0.0201312104889741,0.1945589447650453,0.237885866080425,216.7674269487955,20.131210488974183,194.5589447650453,237.88586608042505
