strategy,threshold_regime,scaling_point,n_runs,selected_threshold_mean,test_mcc_mean,test_recall_mean,test_specificity_mean
FedAdam,mcc_optimal,2,5,0.7177404403686524,0.3688844522861922,0.6511812137501769,0.8113492717779611
FedAdam,mcc_optimal,4,5,0.7098025679588318,0.3673405516298679,0.6447022209647758,0.8135156178437299
FedAdam,mcc_optimal,8,5,0.7120932102203369,0.3682157282294525,0.6684679586928844,0.8004992213978198
FedAdam,mcc_optimal,16,5,0.7257143974304199,0.3675396460601624,0.6371764040175414,0.8189246129889163
FedAdam,mcc_optimal,32,5,0.7087267398834228,0.3672101299107881,0.6636299335125194,0.802670147476413
FedAdam,mcc_optimal,64,5,0.7150183200836182,0.368719703198587,0.6456075824020371,0.8147430612805715
FedAdam,mcc_optimal,128,5,0.7166343212127686,0.3692276882025461,0.6309803366812845,0.8239214069799395
FedAdam,mcc_optimal,256,5,0.7333203077316284,0.3654304826044081,0.6168340642240769,0.8284830997526793
FedAdam,mcc_optimal,512,5,0.7229164481163025,0.3675460099269826,0.6336681284481539,0.8203993771182558
FedAdam,mcc_optimal,1024,5,0.7378406405448914,0.368790587264013,0.6186164945536851,0.8305212054593752
FedAdam,mcc_optimal,2048,5,0.727782380580902,0.3665881897955246,0.6233696420993069,0.8250755702115965
FedAdam,mcc_optimal,4096,5,0.697729229927063,0.3659728598887763,0.6409958975809873,0.8151827425116791
FedAdam,mcc_optimal,8192,5,0.6986181139945984,0.3664162626710522,0.6172584523977932,0.8290418613172117
FedAdam,mcc_optimal,16384,5,0.6361688852310181,0.3689587934072679,0.6469373320130145,0.8135614179719702
FedProx,mcc_optimal,2,5,0.7451138377189637,0.3678386775658973,0.6102419012590181,0.8346661170651279
FedProx,mcc_optimal,4,5,0.7346866488456726,0.3674218266187349,0.6219833073985005,0.8273197764953741
FedProx,mcc_optimal,8,5,0.711932110786438,0.3629467863682957,0.645664167491866,0.8094531464688103
FedProx,mcc_optimal,16,5,0.6991792321205139,0.3590322345608432,0.6624133540811996,0.7959466886507283
FedProx,mcc_optimal,32,5,0.6325736045837402,0.3486969145662017,0.6552836327627671,0.7916094165063663
FedProx,mcc_optimal,64,5,0.6984179854393006,0.3503096424778006,0.6549441222237941,0.7925712191994138
FedProx,mcc_optimal,128,5,0.6761372089385986,0.3512626952368657,0.6812844815391144,0.7764449940459833
FedProx,mcc_optimal,256,5,0.6434939563274383,0.3471756298639469,0.6566133823737446,0.7886461482092149
FedProx,mcc_optimal,512,5,0.6940200924873352,0.3521596333289976,0.6559060687508842,0.7932215810204268
FedProx,mcc_optimal,1024,5,0.6765053033828735,0.35189624613557,0.6726552553402179,0.7832325730512045
FedProx,mcc_optimal,2048,5,0.6961683869361878,0.3514031492972831,0.6465412363842128,0.7996610790510215
FedProx,mcc_optimal,4096,5,0.6728492498397827,0.3514534976745983,0.6675060121657943,0.7861500412201153
FedProx,mcc_optimal,8192,5,0.6491156101226807,0.3500336504426521,0.6627245720752581,0.7876156453238069
FedProx,mcc_optimal,16384,5,0.5996578574180603,0.3496262908640409,0.653303154618758,0.7940001832005129
SCAFFOLD,mcc_optimal,2,5,0.7045433998107911,0.363850061248236,0.6525109633611544,0.805725016030045
SCAFFOLD,mcc_optimal,4,5,0.6913793087005615,0.3584473068409162,0.6653557787522988,0.7938032426490794
SCAFFOLD,mcc_optimal,8,5,0.6822629928588867,0.3560605471491926,0.669260149950488,0.7881744068883394
SCAFFOLD,mcc_optimal,16,5,0.6986555933952332,0.3548153686231842,0.639807610694582,0.8067829989923971
SCAFFOLD,mcc_optimal,32,5,0.6968073010444641,0.3475975414649906,0.6152779742537842,0.8158193642942202
SCAFFOLD,mcc_optimal,64,5,0.6743318796157837,0.3482531456209748,0.6432593011741405,0.7987771365759824
SCAFFOLD,mcc_optimal,128,5,0.6598862648010254,0.3478725398572305,0.6605460461168482,0.7875698451955666
SCAFFOLD,mcc_optimal,256,5,0.6497722864151001,0.3465904724589458,0.6781723015985288,0.7748969497114593
SCAFFOLD,mcc_optimal,512,5,0.6669495344161988,0.3476933950976976,0.6499363417739425,0.7938994229183842
SCAFFOLD,mcc_optimal,1024,5,0.6427967071533203,0.3477306449742086,0.6851605601923894,0.7712558395163507
SCAFFOLD,mcc_optimal,2048,5,0.6559357523918152,0.3471654131689267,0.6535294949780732,0.7914903361729413
SCAFFOLD,mcc_optimal,4096,5,0.6342574834823609,0.3482474643847723,0.673956712406281,0.7793807822661902
SCAFFOLD,mcc_optimal,8192,5,0.6415672302246094,0.3460534618801435,0.632508134106663,0.803315929284602
SCAFFOLD,mcc_optimal,16384,5,0.5752304553985595,0.3442782059824782,0.6613099448295374,0.7837684345516167
