strategy,threshold_regime,scaling_point,n_runs,selected_threshold_mean,test_recall_mean,test_specificity_mean
FedAdam,minimum_recall,2,5,0.6071258425712586,0.7977365964068468,0.6973710726390033
FedAdam,minimum_recall,4,5,0.5878436088562011,0.7989814683830809,0.6966428505999817
FedAdam,minimum_recall,8,5,0.609124481678009,0.8001414627245721,0.6949528258679125
FedAdam,minimum_recall,16,5,0.6095493912696839,0.7975385485924459,0.6977054135751579
FedAdam,minimum_recall,32,5,0.6052259206771851,0.79903805347291,0.6958092882660071
FedAdam,minimum_recall,64,5,0.5961812973022461,0.7970575753289009,0.6980351744984886
FedAdam,minimum_recall,128,5,0.5913123726844788,0.7990380534729098,0.6956169277273976
FedAdam,minimum_recall,256,5,0.609008002281189,0.7993492714669684,0.694902445726848
FedAdam,minimum_recall,512,5,0.5993519783020019,0.7982458622153061,0.6959695887148485
FedAdam,minimum_recall,1024,5,0.6015043258666992,0.7968878200594144,0.6967298708436384
FedAdam,minimum_recall,2048,5,0.597113823890686,0.8000565850898289,0.6940688833928734
FedAdam,minimum_recall,4096,5,0.5737743258476258,0.8001131701796576,0.6947238252267107
FedAdam,minimum_recall,8192,5,0.5604123830795288,0.7971990380534729,0.6976458734084455
FedAdam,minimum_recall,16384,5,0.505538034439087,0.7957844108077522,0.6995923788586608
FedProx,minimum_recall,2,5,0.5972170948982238,0.796520016975527,0.6984840157552441
FedProx,minimum_recall,4,5,0.6001363635063172,0.7964068467958694,0.698735916460566
FedProx,minimum_recall,8,5,0.5926364898681641,0.7963502617060404,0.69693597142072
FedProx,minimum_recall,16,5,0.583736777305603,0.7990380534729099,0.6889896491710177
FedProx,minimum_recall,32,5,0.5015923231840134,0.8003678030838873,0.6748145094806265
FedProx,minimum_recall,64,5,0.5689733386039734,0.8001131701796578,0.6756068516991848
FedProx,minimum_recall,128,5,0.5765224456787109,0.79564294808318,0.6860218008610424
FedProx,minimum_recall,256,5,0.5180878221988678,0.7941151506578017,0.6798845836768344
FedProx,minimum_recall,512,5,0.5696165919303894,0.800679021077946,0.6786250801502244
FedProx,minimum_recall,1024,5,0.5646224617958069,0.7960673362568963,0.683145552807548
FedProx,minimum_recall,2048,5,0.5623509526252747,0.8000565850898289,0.679206741778877
FedProx,minimum_recall,4096,5,0.5526575326919556,0.7986136652991936,0.6795868828432718
FedProx,minimum_recall,8192,5,0.5214913010597229,0.8003960956288017,0.6796281029586883
FedProx,minimum_recall,16384,5,0.4390203773975372,0.7990380534729099,0.6763854538792708
SCAFFOLD,minimum_recall,2,5,0.5869775891304017,0.7969161126043287,0.6938215627003755
SCAFFOLD,minimum_recall,4,5,0.5770241022109985,0.8022068185033244,0.6833974535128698
SCAFFOLD,minimum_recall,8,5,0.57171550989151,0.8004526807186305,0.684950077860218
SCAFFOLD,minimum_recall,16,5,0.5664217710494995,0.803055594850757,0.6796876431254008
SCAFFOLD,minimum_recall,32,5,0.5586028933525086,0.8024331588626396,0.6764953741870477
SCAFFOLD,minimum_recall,64,5,0.5555466055870056,0.8009053614372613,0.6753228909040946
SCAFFOLD,minimum_recall,128,5,0.5549703717231751,0.7973970858678738,0.6782586791243015
SCAFFOLD,minimum_recall,256,5,0.5521077871322632,0.8043570519168199,0.6716726206833379
SCAFFOLD,minimum_recall,512,5,0.5547534942626953,0.8006507285330315,0.6748923696986352
SCAFFOLD,minimum_recall,1024,5,0.5496044158935547,0.8006507285330315,0.6750709901987726
SCAFFOLD,minimum_recall,2048,5,0.545118510723114,0.798981468383081,0.6720207016579647
SCAFFOLD,minimum_recall,4096,5,0.5331682205200196,0.7987268354788514,0.6781533388293488
SCAFFOLD,minimum_recall,8192,5,0.5146866321563721,0.799801952185599,0.6759503526609875
SCAFFOLD,minimum_recall,16384,5,0.4648806989192963,0.8027160843117839,0.6691536136301182
