strategy,scaling_point,selection_metric,n_runs,test_roc_auc_mean,test_pr_auc_mean,test_loss_mean
FedAdam,2,Loss,5,,,0.4925859000078245
FedAdam,4,Loss,5,,,0.4917155664591376
FedAdam,8,Loss,5,,,0.4928409094927356
FedAdam,16,Loss,5,,,0.4928114048222336
FedAdam,32,Loss,5,,,0.4924576972360081
FedAdam,64,Loss,5,,,0.4915604663615999
FedAdam,128,Loss,5,,,0.4921165213116897
FedAdam,256,Loss,5,,,0.4925139995038986
FedAdam,512,Loss,5,,,0.4921525350396766
FedAdam,1024,Loss,5,,,0.4919775699122125
FedAdam,2048,Loss,5,,,0.4929157224138353
FedAdam,4096,Loss,5,,,0.4928528667919256
FedAdam,8192,Loss,5,,,0.4933357986412097
FedAdam,16384,Loss,5,,,0.5016997145096092
FedProx,2,Loss,5,,,0.4915935350824998
FedProx,4,Loss,5,,,0.491867506516401
FedProx,8,Loss,5,,,0.4940416403313179
FedProx,16,Loss,5,,,0.4987396999469338
FedProx,32,Loss,5,,,0.5072456267605501
FedProx,64,Loss,5,,,0.5080626807201467
FedProx,128,Loss,5,,,0.5066881713614787
FedProx,256,Loss,5,,,0.5074090932450911
FedProx,512,Loss,5,,,0.5059217367132778
FedProx,1024,Loss,5,,,0.5065442511588633
FedProx,2048,Loss,5,,,0.506203980889689
FedProx,4096,Loss,5,,,0.5080216853678983
FedProx,8192,Loss,5,,,0.51049709425273
FedProx,16384,Loss,5,,,0.5351923581722196
SCAFFOLD,2,Loss,5,,,0.4962679882832474
SCAFFOLD,4,Loss,5,,,0.5006197042084093
SCAFFOLD,8,Loss,5,,,0.5031893741313784
SCAFFOLD,16,Loss,5,,,0.504689885999527
SCAFFOLD,32,Loss,5,,,0.5107685882345947
SCAFFOLD,64,Loss,5,,,0.5130504241475858
SCAFFOLD,128,Loss,5,,,0.5143178687703773
SCAFFOLD,256,Loss,5,,,0.5146277994327411
SCAFFOLD,512,Loss,5,,,0.5131944532262483
SCAFFOLD,1024,Loss,5,,,0.5124428116947822
SCAFFOLD,2048,Loss,5,,,0.5136852502765112
SCAFFOLD,4096,Loss,5,,,0.5128598954290216
SCAFFOLD,8192,Loss,5,,,0.5154346226240003
SCAFFOLD,16384,Loss,5,,,0.5283682552885456
FedAdam,2,PRROC,5,,0.4175787203073305,
FedAdam,4,PRROC,5,,0.4209963335831203,
FedAdam,8,PRROC,5,,0.4198782183899524,
FedAdam,16,PRROC,5,,0.4203426296778593,
FedAdam,32,PRROC,5,,0.4202964619470722,
FedAdam,64,PRROC,5,,0.4230303155301187,
FedAdam,128,PRROC,5,,0.4202109329754339,
FedAdam,256,PRROC,5,,0.4191015203486268,
FedAdam,512,PRROC,5,,0.4198801847143799,
FedAdam,1024,PRROC,5,,0.421330314992162,
FedAdam,2048,PRROC,5,,0.4193869017781376,
FedAdam,4096,PRROC,5,,0.419172547108409,
FedAdam,8192,PRROC,5,,0.4212695958906478,
FedAdam,16384,PRROC,5,,0.4223115565717686,
FedProx,2,PRROC,5,,0.4239023254038998,
FedProx,4,PRROC,5,,0.4213108315810434,
