family,run,rounds_available,plateau_rounds_requested,plateau_rounds_used,plateau_start_round,plateau_end_round,plateau_mcc_mean,plateau_mcc_std,target_fraction,target_mcc,rounds_to_target,reached_and_held_target,peak_mcc,peak_round,peak_threshold,stable_by_cutoff,stability_rank,performance_rank,convergence_rank,practically_tied_with_best,recommended
FedAdam,1,18,10,10,71,80,0.3624914001256546,0.010260641471374654,0.9,0.32624226011308916,10.0,True,0.3770522751922373,30,0.65,,4,4,1,False,False
FedAdam,2,22,10,10,41,50,0.3003745029798228,0.06198594443720882,0.9,0.27033705268184055,,False,0.37829520149493606,20,0.6,,5,5,5,False,False
FedAdam,3,37,10,10,56,65,0.36412579818723145,0.004798999025363563,0.9,0.3277132183685083,10.0,True,0.3767069329187631,48,0.55,,2,3,1,False,False
FedAdam,4,25,10,10,36,45,0.37421433693207873,0.006487387368553917,0.9,0.33679290323887084,15.0,True,0.38222384384953634,43,0.65,,3,2,4,False,False
FedAdam,5,34,10,10,36,45,0.38105100788886387,0.0017083097119347508,0.9,0.34294590709997747,10.0,True,0.3839099264349122,45,0.65,,1,1,1,False,False
FedProx,1,18,10,10,71,80,0.30051606556420857,0.0020881526106621374,0.9,0.2704644590077877,50.0,True,0.3041549038361563,80,0.6,,4,4,3,False,False
FedProx,2,18,10,10,71,80,0.2657377797226984,0.0025922980984130883,0.9,0.23916400175042857,60.0,True,0.26971357700530724,80,0.55,,5,5,5,False,False
FedProx,3,18,10,10,71,80,0.3146165005598237,0.0008329317249916653,0.9,0.28315485050384137,50.0,True,0.3158254345341758,78,0.5,,3,3,3,False,False
FedProx,4,18,10,10,71,80,0.35073451616240575,0.0004313241905707575,0.9,0.31566106454616516,20.0,True,0.3516389226069287,71,0.65,,1,2,1,False,False
FedProx,5,18,10,10,71,80,0.3570767166230557,0.0004816077113827953,0.9,0.32136904496075014,20.0,True,0.3578590935207078,78,0.6,,2,1,1,False,False
Scaffold,1,18,10,10,71,80,0.349920952286998,0.000893868719486038,0.9,0.3149288570582982,20.0,True,0.35095415425005333,80,0.6,,2,1,2,False,False
Scaffold,2,18,10,10,71,80,0.34677834554430187,0.000330336817311889,0.9,0.3121005109898717,10.0,True,0.347229668776888,80,0.6,,1,2,1,False,False
