strategy,scaling_point,run,checkpoint_selection,selected_round,selected_checkpoint,threshold_regime,selected_threshold,minimum_validation_recall_requirement,validation_candidate_threshold_count,validation_eligible_threshold_count,validation_roc_auc,validation_average_precision,test_roc_auc,test_average_precision,validation_tp,validation_fp,validation_tn,validation_fn,validation_mcc,validation_recall,validation_specificity,validation_precision,validation_f1,validation_balanced_accuracy,test_tp,test_fp,test_tn,test_fn,test_mcc,test_recall,test_specificity,test_precision,test_f1,test_accuracy,test_balanced_accuracy,test_false_positive_rate,test_false_negative_rate,test_predicted_positive_rate,test_false_positives_per_1000_negatives,validation_n_samples,test_n_samples
FedAdam,2,1,highest_validation_average_precision,45,result/splits_iid_scaling/splits_iid_2_clients.json/FedAdam/bestPRROC/run_1/model_round_45_run_1.pt,mcc_optimal,0.7620163559913635,,24660,,0.8284741943974743,0.422579909487169,0.8243688588128019,0.4176513402477262,2153,3413,18420,1382,0.37884706297494525,0.609052333804809,0.8436770027023314,0.3868127919511319,0.4731348203494122,0.7263646682535703,4296,7178,36490,2773,0.36699103330427224,0.6077238647616353,0.8356233397453513,0.37441171343907964,0.463355444102896,0.8038709423103455,0.7216736022534933,0.1643766602546487,0.3922761352383647,0.22614659912884089,164.3766602546487,25368,50737
FedAdam,2,1,highest_validation_average_precision,45,result/splits_iid_scaling/splits_iid_2_clients.json/FedAdam/bestPRROC/run_1/model_round_45_run_1.pt,minimum_recall,0.6250403523445129,0.8,24660,15416,0.8284741943974743,0.422579909487169,0.8243688588128019,0.4176513402477262,2828,6470,15363,707,0.36198103838889145,0.8,0.7036595978564558,0.30415143041514303,0.4407387204862464,0.7518297989282279,5652,13183,30485,1417,0.3566957389293602,0.7995473192813694,0.6981084547036732,0.30007963897000267,0.43638048177887584,0.7122415594142342,0.7488278869925213,0.3018915452963268,0.20045268071863065,0.3712280978378698,301.8915452963268,25368,50737
FedAdam,2,2,highest_validation_average_precision,39,result/splits_iid_scaling/splits_iid_2_clients.json/FedAdam/bestPRROC/run_2/model_round_39_run_1.pt,mcc_optimal,0.6844990253448486,,24658,,0.8290887281110546,0.42478197397222095,0.8240803014834096,0.41785669355233557,2460,4532,17301,1075,0.378470406752244,0.695898161244696,0.7924243118215545,0.35183066361556065,0.46736962097463663,0.7441612365331252,4890,9374,34294,2179,0.3674957248931426,0.691752723157448,0.7853347989374371,0.3428210880538418,0.4584446631978625,0.7722963517748389,0.7385437610474426,0.21466520106256293,0.30824727684255204,0.28113605455584684,214.66520106256291,25368,50737
FedAdam,2,2,highest_validation_average_precision,39,result/splits_iid_scaling/splits_iid_2_clients.json/FedAdam/bestPRROC/run_2/model_round_39_run_1.pt,minimum_recall,0.5869425535202026,0.8,24658,15339,0.8290887281110546,0.42478197397222095,0.8240803014834096,0.41785669355233557,2828,6544,15289,707,0.3589502343466027,0.8,0.7002702331333303,0.30174989329918905,0.43821182304176026,0.7501351165666652,5655,13333,30335,1414,0.35395639409155816,0.7999717074550856,0.6946734450856462,0.2978196755845797,0.4340484322830717,0.7093442655261446,0.7473225762703659,0.3053265549143538,0.2000282925449144,0.3742436486193508,305.3265549143538,25368,50737
FedAdam,2,3,highest_validation_average_precision,45,result/splits_iid_scaling/splits_iid_2_clients.json/FedAdam/bestPRROC/run_3/model_round_45_run_1.pt,mcc_optimal,0.703432559967041,,24665,,0.8280732597211015,0.4211025740376268,0.8241329515459522,0.4173126433722524,2220,3694,18139,1315,0.3757866011611064,0.628005657708628,0.8308065771996519,0.3753804531619885,0.469890993755953,0.72940611745414,4467,7623,36045,2602,0.3717365329756394,0.6319139906634602,0.8254328112118714,0.3694789081885856,0.46630826243540896,0.7984705441788045,0.7286734009376659,0.1745671887881286,0.3680860093365398,0.23828764018369236,174.5671887881286,25368,50737
FedAdam,2,3,highest_validation_average_precision,45,result/splits_iid_scaling/splits_iid_2_clients.json/FedAdam/bestPRROC/run_3/model_round_45_run_1.pt,minimum_recall,0.5903652906417847,0.8,24665,15339,0.8280732597211015,0.4211025740376268,0.8241329515459522,0.4173126433722524,2828,6549,15284,707,0.35874631987677563,0.8,0.7000412220033894,0.30158899434787245,0.43804213135068154,0.7500206110016947,5649,13349,30319,1420,0.3530495067237308,0.7991229311076531,0.6943070440597233,0.29734708916728075,0.43342156749913685,0.7089106569170428,0.7467149875836883,0.3056929559402767,0.2008770688923469,0.3744407434416698,305.6929559402767,25368,50737
FedAdam,2,4,highest_validation_average_precision,42,result/splits_iid_scaling/splits_iid_2_clients.json/FedAdam/bestPRROC/run_4/model_round_42_run_1.pt,mcc_optimal,0.7061891555786133,,24658,,0.8294711281101217,0.4251238690821537,0.8246914325693115,0.41748018314682583,2307,3976,17857,1228,0.3774747708655496,0.6526166902404527,0.8178903494709843,0.36718128282667517,0.4699531472805052,0.7352535198557184,4634,8268,35400,2435,0.3707302480608279,0.6555382656669968,0.8106622698543556,0.35916912106650134,0.46407290571328424,0.7890494116719554,0.7331002677606762,0.18933773014564437,0.3444617343330032,0.2542917397559966,189.33773014564437,25368,50737
FedAdam,2,4,highest_validation_average_precision,42,result/splits_iid_scaling/splits_iid_2_clients.json/FedAdam/bestPRROC/run_4/model_round_42_run_1.pt,minimum_recall,0.5960245728492737,0.8,24658,15557,0.8294711281101217,0.4251238690821537,0.8246914325693115,0.41748018314682583,2828,6326,15507,707,0.36794952609618237,0.8,0.7102551183987542,0.30893598426917196,0.445740405075262,0.7551275591993771,5588,12961,30707,1481,0.3549802437879214,0.7904937049087566,0.7031922689383531,0.30125613240605964,0.436255757670388,0.7153556576068747,0.7468429869235549,0.29680773106164693,0.2095062950912434,0.36559118591954587,296.8077310616469,25368,50737
FedAdam,2,5,highest_validation_average_precision,45,result/splits_iid_scaling/splits_iid_2_clients.json/FedAdam/bestPRROC/run_5/model_round_45_run_1.pt,mcc_optimal,0.7325651049613953,,24664,,0.8274553572440821,0.42012246001782955,0.8241815246908691,0.417592821688593,2359,4239,17594,1176,0.3735350271584997,0.6673267326732674,0.8058443640360922,0.3575325856320097,0.4656074212967532,0.7365855483546797,4729,8747,34921,2340,0.36746872219707893,0.6689772245013439,0.7996931391407895,0.35092015434847135,0.460355317595522,0.7814809704949051,0.7343351818210667,0.20030686085921046,0.3310227754986561,0.26560498255710824,200.30686085921045,25368,50737
FedAdam,2,5,highest_validation_average_precision,45,result/splits_iid_scaling/splits_iid_2_clients.json/FedAdam/bestPRROC/run_5/model_round_45_run_1.pt,minimum_recall,0.6372564435005188,0.8,24664,15402,0.8274553572440821,0.42012246001782955,0.8241815246908691,0.417592821688593,2828,6488,15345,707,0.361241582846327,0.8,0.7028351577886686,0.3035637612709317,0.4401213913314139,0.7514175788943342,5652,13250,30418,1417,0.355338575261233,0.7995473192813694,0.6965741504076212,0.2990159771452756,0.4352547071733857,0.7109210241046968,0.7480607348444952,0.30342584959237884,0.20045268071863065,0.3725486331474072,303.4258495923788,25368,50737
