strategy,scaling_point,run,checkpoint_selection,selected_round,selected_checkpoint,threshold_regime,selected_threshold,minimum_validation_recall_requirement,validation_candidate_threshold_count,validation_eligible_threshold_count,validation_roc_auc,validation_average_precision,test_roc_auc,test_average_precision,validation_tp,validation_fp,validation_tn,validation_fn,validation_mcc,validation_recall,validation_specificity,validation_precision,validation_f1,validation_balanced_accuracy,test_tp,test_fp,test_tn,test_fn,test_mcc,test_recall,test_specificity,test_precision,test_f1,test_accuracy,test_balanced_accuracy,test_false_positive_rate,test_false_negative_rate,test_predicted_positive_rate,test_false_positives_per_1000_negatives,validation_n_samples,test_n_samples
FedProx,2,1,highest_validation_average_precision,68,result/splits_iid_scaling/splits_iid_2_clients.json/FedProx/bestPRROC/run_1/model_round_68_run_1.pt,mcc_optimal,0.7341485619544983,,24650,,0.8298866456451509,0.4302828686968737,0.8247298109905354,0.42292885730748164,2322,3911,17922,1213,0.38429862493971706,0.6568599717114568,0.8208674941602162,0.3725332905502968,0.47542997542997545,0.7388637329358365,4554,8037,35631,2515,0.3689160661388071,0.6442212477012307,0.8159521846661171,0.36168691922802,0.46327568667344865,0.7920255434889726,0.7300867161836739,0.18404781533388292,0.3557787522987693,0.24816209078187515,184.04781533388294,25368,50737
FedProx,2,1,highest_validation_average_precision,68,result/splits_iid_scaling/splits_iid_2_clients.json/FedProx/bestPRROC/run_1/model_round_68_run_1.pt,minimum_recall,0.6060835123062134,0.8,24650,15514,0.8298866456451509,0.4302828686968737,0.8247298109905354,0.42292885730748164,2828,6368,15465,707,0.36619889316955306,0.8,0.7083314249072505,0.3075250108742932,0.4442698923886576,0.7541657124536253,5598,13005,30663,1471,0.3550548533633302,0.7919083321544773,0.7021846661170651,0.30091920657958393,0.4361171704580866,0.71468553521099,0.7470464991357713,0.2978153338829349,0.2080916678455227,0.3666554979600686,297.8153338829349,25368,50737
FedProx,2,2,highest_validation_average_precision,59,result/splits_iid_scaling/splits_iid_2_clients.json/FedProx/bestPRROC/run_2/model_round_59_run_2.pt,mcc_optimal,0.7698737978935242,,24665,,0.8295447809400028,0.42352530120794835,0.8255180571783858,0.42356668704263806,2123,3223,18610,1412,0.3846173480223976,0.6005657708628006,0.8523794256400861,0.39711934156378603,0.4780993131404121,0.7264725982514433,4147,6687,36981,2922,0.3663243331883036,0.5866459188003961,0.8468672712283595,0.3827764445264907,0.46327431156789367,0.810611585233656,0.7167565950143777,0.15313272877164052,0.41335408119960393,0.21353253050042376,153.13272877164053,25368,50737
FedProx,2,2,highest_validation_average_precision,59,result/splits_iid_scaling/splits_iid_2_clients.json/FedProx/bestPRROC/run_2/model_round_59_run_2.pt,minimum_recall,0.6129001975059509,0.8,24665,15435,0.8295447809400028,0.42352530120794835,0.8255180571783858,0.42356668704263806,2828,6452,15381,707,0.3627219429212294,0.8,0.7044840379242431,0.30474137931034484,0.4413577838470542,0.7522420189621215,5627,13188,30480,1442,0.35415597190423037,0.7960107511670674,0.6979939543830723,0.2990698910443795,0.4347859681656622,0.7116502749472772,0.7470023527750699,0.3020060456169277,0.20398924883293257,0.37083390819323175,302.0060456169277,25368,50737
FedProx,2,3,highest_validation_average_precision,66,result/splits_iid_scaling/splits_iid_2_clients.json/FedProx/bestPRROC/run_3/model_round_66_run_3.pt,mcc_optimal,0.7468857169151306,,24660,,0.8285010084587707,0.42393680741456474,0.8246580316482319,0.4256531967004091,2116,3326,18507,1419,0.3764763970224335,0.5985855728429986,0.8476617963633033,0.3888276368981992,0.4714269800601537,0.723123684603151,4183,6839,36829,2886,0.36539889481023574,0.5917385768849908,0.8433864614820922,0.37951369987298134,0.46243988723674756,0.8083252852947553,0.7175625191835415,0.15661353851790782,0.40826142311500924,0.21723791316002128,156.6135385179078,25368,50737
FedProx,2,3,highest_validation_average_precision,66,result/splits_iid_scaling/splits_iid_2_clients.json/FedProx/bestPRROC/run_3/model_round_66_run_3.pt,minimum_recall,0.5895787477493286,0.8,24660,15395,0.8285010084587707,0.42393680741456474,0.8246580316482319,0.4256531967004091,2828,6490,15343,707,0.36115951021663056,0.8,0.7027435533366921,0.30349860485082636,0.44005290593635726,0.7513717766683461,5653,13318,30350,1416,0.35406353641275307,0.7996887820059414,0.6950169460474489,0.29798112909177166,0.43417818740399383,0.7096004887951594,0.7473528640266951,0.3049830539525511,0.2003112179940586,0.3739085874214084,304.9830539525511,25368,50737
FedProx,2,4,highest_validation_average_precision,48,result/splits_iid_scaling/splits_iid_2_clients.json/FedProx/bestPRROC/run_4/model_round_48_run_4.pt,mcc_optimal,0.7297245860099792,,24662,,0.8296723598984732,0.4248222835077936,0.8251763330853298,0.42374554467701697,2238,3674,18159,1297,0.3807522112727934,0.6330975954738332,0.8317226217194156,0.37855209742895807,0.473801206732296,0.7324101085966244,4441,7587,36081,2628,0.37007122719085406,0.6282359598245862,0.8262572135201979,0.36922181576321916,0.4650992302455883,0.7986676390011235,0.7272465866723921,0.17374278647980212,0.37176404017541376,0.23706565228531445,173.74278647980213,25368,50737
FedProx,2,4,highest_validation_average_precision,48,result/splits_iid_scaling/splits_iid_2_clients.json/FedProx/bestPRROC/run_4/model_round_48_run_4.pt,minimum_recall,0.5901288390159607,0.8,24662,15502,0.8296723598984732,0.4248222835077936,0.8251763330853298,0.42374554467701697,2828,6382,15451,707,0.365617162938391,0.8,0.7076901937434159,0.307057546145494,0.4437818752451942,0.753845096871708,5611,13015,30653,1458,0.35611927926674475,0.7937473475739143,0.7019556654758633,0.30124557070761304,0.4367386651099436,0.7147446636576857,0.7478515065248887,0.2980443345241367,0.2062526524260857,0.36710881605140233,298.0443345241367,25368,50737
FedProx,2,5,highest_validation_average_precision,70,result/splits_iid_scaling/splits_iid_2_clients.json/FedProx/bestPRROC/run_5/model_round_70_run_5.pt,mcc_optimal,0.7449365258216858,,24657,,0.8290626266727936,0.426752631141529,0.8256542897213874,0.4236173412919534,2149,3393,18440,1386,0.37925600908331125,0.6079207920792079,0.8445930472220949,0.3877661494045471,0.47350446182659467,0.7262569196506514,4244,6949,36719,2825,0.36848286650128603,0.6003678030838874,0.8408674544288725,0.3791655498972572,0.46479027488774505,0.8073595206653921,0.7206176287563799,0.15913254557112755,0.3996321969161126,0.2206082346216765,159.13254557112754,25368,50737
FedProx,2,5,highest_validation_average_precision,70,result/splits_iid_scaling/splits_iid_2_clients.json/FedProx/bestPRROC/run_5/model_round_70_run_5.pt,minimum_recall,0.5873941779136658,0.8,24657,15357,0.8290626266727936,0.426752631141529,0.8256542897213874,0.4236173412919534,2828,6529,15304,707,0.3595626342320235,0.8,0.700957266523153,0.3022336218873571,0.43872168786844556,0.7504786332615765,5664,13307,30361,1405,0.35535752501265944,0.8012448719762343,0.6952688467527709,0.29856096146750305,0.43502304147465437,0.7100340974042612,0.7482568593645026,0.3047311532472291,0.19875512802376571,0.3739085874214084,304.7311532472291,25368,50737
