strategy,threshold_regime,scaling_point,n_runs,selected_threshold_mean,selected_threshold_std,test_mcc_mean,test_mcc_std,test_recall_mean,test_recall_std,test_specificity_mean,test_specificity_std
FedProx,mcc_optimal,2,5,0.7451138377189637,0.015598821782379906,0.3678386775658973,0.001923915417721216,0.6102419012590181,0.02487480323616246,0.8346661170651279,0.013079469402723122
FedProx,mcc_optimal,4,5,0.7346866488456726,0.024721147242311763,0.3674218266187349,0.0018822903585994672,0.6219833073985005,0.03918356598180898,0.8273197764953741,0.021463686604297646
FedProx,mcc_optimal,8,5,0.711932110786438,0.025249507852629777,0.36294678636829575,0.0008353331874505855,0.645664167491866,0.044070395500555755,0.8094531464688103,0.027282874407409605
FedProx,mcc_optimal,16,5,0.6991792321205139,0.02905282796647032,0.3590322345608432,0.0012028746098300986,0.6624133540811996,0.03815464990607333,0.7959466886507283,0.02367703068310261
FedProx,mcc_optimal,32,5,0.6325736045837402,0.1558007192610568,0.3486969145662017,0.003052881152453468,0.6552836327627671,0.026449255008488732,0.7916094165063663,0.018423105142804666
FedProx,mcc_optimal,64,5,0.6984179854393006,0.032038145219745705,0.35030964247780066,0.0033321245671791002,0.6549441222237941,0.05731810548047571,0.7925712191994138,0.03361918551443641
FedProx,mcc_optimal,128,5,0.6761372089385986,0.03250118068145297,0.35126269523686576,0.002578495267995914,0.6812844815391144,0.045287408340104036,0.7764449940459833,0.031719140779518366
FedProx,mcc_optimal,256,5,0.6434939563274383,0.10338488769247936,0.3471756298639469,0.004614220695165496,0.6566133823737446,0.05150414772221822,0.7886461482092149,0.035439370068361495
FedProx,mcc_optimal,512,5,0.6940200924873352,0.04214972502232508,0.35215963332899763,0.00288871376396391,0.6559060687508842,0.0565241927227251,0.7932215810204268,0.03798579017244627
FedProx,mcc_optimal,1024,5,0.6765053033828735,0.024317513536103487,0.35189624613557,0.0013596682480100997,0.6726552553402179,0.031049215116607982,0.7832325730512045,0.02013121048897418
FedProx,mcc_optimal,2048,5,0.6961683869361878,0.016479032655518304,0.35140314929728317,0.005332094016675613,0.6465412363842128,0.02595226119135447,0.7996610790510215,0.014832265639121281
FedProx,mcc_optimal,4096,5,0.6787903904914856,0.02548086454933656,0.35039132900583125,0.0033581894710402824,0.6608289715659923,0.03977450349743799,0.7894751305303654,0.02237582596604124
FedProx,mcc_optimal,8192,5,0.6491156101226807,0.03092499263423397,0.35003365044265217,0.003608671410866797,0.6627245720752581,0.04231750473724249,0.7876156453238069,0.028329534099270366
FedProx,mcc_optimal,16384,5,0.5996578574180603,0.005267000055682369,0.34962629086404096,0.0023130807482767686,0.653303154618758,0.008203862362173754,0.7940001832005129,0.0060804435508238315
