strategy,scaling_point,run,checkpoint_selection,selected_round,selected_checkpoint,threshold_regime,selected_threshold,minimum_validation_recall_requirement,validation_candidate_threshold_count,validation_eligible_threshold_count,validation_roc_auc,validation_average_precision,test_roc_auc,test_average_precision,validation_tp,validation_fp,validation_tn,validation_fn,validation_mcc,validation_recall,validation_specificity,validation_precision,validation_f1,validation_balanced_accuracy,test_tp,test_fp,test_tn,test_fn,test_mcc,test_recall,test_specificity,test_precision,test_f1,test_accuracy,test_balanced_accuracy,test_false_positive_rate,test_false_negative_rate,test_predicted_positive_rate,test_false_positives_per_1000_negatives,validation_n_samples,test_n_samples
FedProx,2,1,highest_validation_average_precision,68,result/splits_iid_scaling/splits_iid_2_clients.json/FedProx/bestPRROC/run_1/model_round_68_run_1.pt,mcc_optimal,0.7341485619544983,,24650,,0.8298866456451509,0.4302828686968737,0.8247298109905354,0.4229288573074816,2322,3911,17922,1213,0.384298624939717,0.6568599717114568,0.8208674941602162,0.3725332905502968,0.4754299754299754,0.7388637329358365,4554,8037,35631,2515,0.3689160661388071,0.6442212477012307,0.8159521846661171,0.36168691922802,0.4632756866734486,0.7920255434889726,0.7300867161836739,0.1840478153338829,0.3557787522987693,0.2481620907818751,184.04781533388297,25368,50737
FedProx,2,2,highest_validation_average_precision,59,result/splits_iid_scaling/splits_iid_2_clients.json/FedProx/bestPRROC/run_2/model_round_59_run_2.pt,mcc_optimal,0.7698737978935242,,24665,,0.8295447809400028,0.4235253012079483,0.8255180571783858,0.423566687042638,2123,3223,18610,1412,0.3846173480223976,0.6005657708628006,0.8523794256400861,0.397119341563786,0.4780993131404121,0.7264725982514433,4147,6687,36981,2922,0.3663243331883036,0.5866459188003961,0.8468672712283595,0.3827764445264907,0.4632743115678936,0.810611585233656,0.7167565950143777,0.1531327287716405,0.4133540811996039,0.2135325305004237,153.13272877164053,25368,50737
FedProx,2,3,highest_validation_average_precision,66,result/splits_iid_scaling/splits_iid_2_clients.json/FedProx/bestPRROC/run_3/model_round_66_run_3.pt,mcc_optimal,0.7468857169151306,,24660,,0.8285010084587707,0.4239368074145647,0.8246580316482319,0.4256531967004091,2116,3326,18507,1419,0.3764763970224335,0.5985855728429986,0.8476617963633033,0.3888276368981992,0.4714269800601537,0.723123684603151,4183,6839,36829,2886,0.3653988948102357,0.5917385768849908,0.8433864614820922,0.3795136998729813,0.4624398872367475,0.8083252852947553,0.7175625191835415,0.1566135385179078,0.4082614231150092,0.2172379131600212,156.6135385179078,25368,50737
FedProx,2,4,highest_validation_average_precision,48,result/splits_iid_scaling/splits_iid_2_clients.json/FedProx/bestPRROC/run_4/model_round_48_run_4.pt,mcc_optimal,0.7297245860099792,,24662,,0.8296723598984732,0.4248222835077936,0.8251763330853298,0.4237455446770169,2238,3674,18159,1297,0.3807522112727934,0.6330975954738332,0.8317226217194156,0.378552097428958,0.473801206732296,0.7324101085966244,4441,7587,36081,2628,0.370071227190854,0.6282359598245862,0.8262572135201979,0.3692218157632191,0.4650992302455883,0.7986676390011235,0.7272465866723921,0.1737427864798021,0.3717640401754137,0.2370656522853144,173.7427864798021,25368,50737
FedProx,2,5,highest_validation_average_precision,70,result/splits_iid_scaling/splits_iid_2_clients.json/FedProx/bestPRROC/run_5/model_round_70_run_5.pt,mcc_optimal,0.7449365258216858,,24657,,0.8290626266727936,0.426752631141529,0.8256542897213874,0.4236173412919534,2149,3393,18440,1386,0.3792560090833112,0.6079207920792079,0.8445930472220949,0.3877661494045471,0.4735044618265946,0.7262569196506514,4244,6949,36719,2825,0.368482866501286,0.6003678030838874,0.8408674544288725,0.3791655498972572,0.464790274887745,0.8073595206653921,0.7206176287563799,0.1591325455711275,0.3996321969161126,0.2206082346216765,159.13254557112754,25368,50737
FedProx,4,1,highest_validation_average_precision,78,result/splits_iid_scaling/splits_iid_4_clients.json/FedProx/bestPRROC/run_1/model_round_78_run_1.pt,mcc_optimal,0.767267107963562,,24665,,0.8283738894660775,0.4202826775560057,0.8248404141860639,0.4231120219354891,2040,3099,18734,1495,0.3749376727978304,0.5770862800565771,0.8580589016626208,0.396964389959136,0.4703712243486281,0.7175725908595989,4078,6423,37245,2991,0.3673687246708411,0.576884990804923,0.8529128881560868,0.3883439672412151,0.4642003414911781,0.8144549342688767,0.7148989394805049,0.1470871118439132,0.423115009195077,0.2069692729172004,147.08711184391322,25368,50737
FedProx,4,2,highest_validation_average_precision,76,result/splits_iid_scaling/splits_iid_4_clients.json/FedProx/bestPRROC/run_2/model_round_76_run_2.pt,mcc_optimal,0.7535394430160522,,24658,,0.8271146262573991,0.4217177612910004,0.8244556257271313,0.4198781095111641,2061,3217,18616,1474,0.371702505661958,0.583026874115983,0.8526542389960152,0.3904888215233043,0.467718143651424,0.7178405565559991,4131,6683,36985,2938,0.3647346343275645,0.5843825152072429,0.8469588714848402,0.3820048085814684,0.4620030196275793,0.810375071446873,0.7156706933460415,0.1530411285151598,0.415617484792757,0.2131383408557857,153.04112851515984,25368,50737
FedProx,4,3,highest_validation_average_precision,73,result/splits_iid_scaling/splits_iid_4_clients.json/FedProx/bestPRROC/run_3/model_round_73_run_3.pt,mcc_optimal,0.7154876589775085,,24663,,0.8284823442136402,0.4256906867421978,0.825183683523226,0.4220090649784571,2345,4092,17741,1190,0.3787724654868633,0.6633663366336634,0.812577291256355,0.3643001398166848,0.4703168872843963,0.7379718139450092,4679,8461,35207,2390,0.3700567061443411,0.6619040882727402,0.806242557479161,0.3560882800608828,0.4630610124202088,0.7861324083016339,0.7340733228759506,0.193757442520839,0.3380959117272598,0.2589825965271892,193.75744252083905,25368,50737
FedProx,4,4,highest_validation_average_precision,76,result/splits_iid_scaling/splits_iid_4_clients.json/FedProx/bestPRROC/run_4/model_round_76_run_4.pt,mcc_optimal,0.7102178335189819,,24666,,0.8281822003480062,0.4167879083630771,0.8246688985693087,0.4185093567438713,2324,4055,17778,1211,0.3765198193681362,0.6574257425742575,0.8142719736179178,0.3643204263991221,0.4688319548113778,0.7358488580960876,4616,8319,35349,2453,0.3674674804534822,0.6529919366246993,0.8094943665842265,0.3568612292230382,0.4615076984603079,0.7876894573979542,0.7312431516044628,0.1905056334157735,0.3470080633753006,0.2549421526696493,190.50563341577353,25368,50737
FedProx,4,5,highest_validation_average_precision,74,result/splits_iid_scaling/splits_iid_4_clients.json/FedProx/bestPRROC/run_5/model_round_74_run_5.pt,mcc_optimal,0.7269212007522583,,24665,,0.8295779114327473,0.4243360654291033,0.8251802626054567,0.4230456047362351,2262,3800,18033,1273,0.3782967174902638,0.6398868458274399,0.8259515412449046,0.3731441768393269,0.4713973116598937,0.7329191935361723,4480,7817,35851,2589,0.3674815874974454,0.6337530060828972,0.8209901987725565,0.3643164999593397,0.4626665289682949,0.7949031278948302,0.7273716024277268,0.1790098012274434,0.3662469939171028,0.242367503005696,179.0098012274435,25368,50737
