strategy,scaling_point,run,checkpoint_selection,selected_round,selected_checkpoint,threshold_regime,selected_threshold,minimum_validation_recall_requirement,validation_candidate_threshold_count,validation_eligible_threshold_count,validation_roc_auc,validation_average_precision,test_roc_auc,test_average_precision,validation_tp,validation_fp,validation_tn,validation_fn,validation_mcc,validation_recall,validation_specificity,validation_precision,validation_f1,validation_balanced_accuracy,test_tp,test_fp,test_tn,test_fn,test_mcc,test_recall,test_specificity,test_precision,test_f1,test_accuracy,test_balanced_accuracy,test_false_positive_rate,test_false_negative_rate,test_predicted_positive_rate,test_false_positives_per_1000_negatives,validation_n_samples,test_n_samples
SCAFFOLD,2,1,highest_validation_average_precision,80,result/splits_iid_scaling/splits_iid_2_clients.json/SCAFFOLD/bestPRROC/run_1/model_round_80_run_1.pt,mcc_optimal,0.674460768699646,,24663,,0.8248019248077748,0.4104313828997492,0.8219623646435812,0.40847118202675736,2509,4826,17007,1026,0.3733152274763244,0.7097595473833097,0.7789584573810288,0.3420586230402181,0.46163753449862005,0.7443590023821692,4988,9954,33714,2081,0.3628874897820964,0.7056160701655114,0.7720527617477329,0.3338241199303975,0.45322793148880103,0.7627963813390622,0.7388344159566221,0.22794723825226715,0.2943839298344886,0.2944990835090762,227.94723825226714,25368,50737
SCAFFOLD,2,1,highest_validation_average_precision,80,result/splits_iid_scaling/splits_iid_2_clients.json/SCAFFOLD/bestPRROC/run_1/model_round_80_run_1.pt,minimum_recall,0.5986663699150085,0.8,24663,15484,0.8248019248077748,0.4104313828997492,0.8219623646435812,0.40847118202675736,2828,6395,15438,707,0.3650777913058398,0.8,0.7070947648055695,0.3066247424915971,0.4433296754977269,0.7535473824027847,5625,13111,30557,1444,0.35552571120972887,0.7957278257179233,0.6997572593203261,0.30022416737830915,0.4359620228637861,0.7131284861146697,0.7477425425191246,0.30024274067967394,0.20427217428207667,0.36927685909691155,300.24274067967394,25368,50737
SCAFFOLD,2,2,highest_validation_average_precision,80,result/splits_iid_scaling/splits_iid_2_clients.json/SCAFFOLD/bestPRROC/run_2/model_round_80_run_2.pt,mcc_optimal,0.7063096761703491,,24659,,0.8245625547302589,0.4087363146036552,0.8210957531988206,0.40310948379514644,2322,4072,17761,1213,0.3751542360613242,0.6568599717114568,0.8134933357761187,0.36315295589615265,0.4677208178064256,0.7351766537437878,4601,8330,35338,2468,0.36561854549020467,0.6508699957561183,0.8092424658789045,0.35581161549764134,0.4601,0.7871770108599248,0.7300562308175114,0.19075753412109553,0.34913000424388174,0.25486331474072177,190.75753412109552,25368,50737
SCAFFOLD,2,2,highest_validation_average_precision,80,result/splits_iid_scaling/splits_iid_2_clients.json/SCAFFOLD/bestPRROC/run_2/model_round_80_run_2.pt,minimum_recall,0.5825377106666565,0.8,24659,15294,0.8245625547302589,0.4087363146036552,0.8210957531988206,0.40310948379514644,2828,6594,15239,707,0.3569159807592083,0.8,0.6979801218339211,0.300148588410104,0.4365207995678012,0.7489900609169606,5654,13538,30130,1415,0.349753585819252,0.7998302447305136,0.6899789319410095,0.29460191746561065,0.43060051026236623,0.7052841121863729,0.7449045883357615,0.31002106805899055,0.20016975526948644,0.37826438299465875,310.0210680589905,25368,50737
SCAFFOLD,2,3,highest_validation_average_precision,80,result/splits_iid_scaling/splits_iid_2_clients.json/SCAFFOLD/bestPRROC/run_3/model_round_80_run_3.pt,mcc_optimal,0.727893590927124,,24659,,0.8238305159565692,0.4100012993632136,0.8209823462113135,0.4081947434442654,2172,3615,18218,1363,0.37043371978787937,0.6144271570014145,0.8344249530527184,0.37532400207361327,0.46599442179789746,0.7244260550270665,4344,7419,36249,2725,0.36483931507103273,0.6145140755410949,0.8301044242923881,0.36929354756439686,0.4613423959218352,0.8000670122395884,0.7223092499167415,0.16989557570761193,0.38548592445890506,0.2318426394938605,169.89557570761193,25368,50737
SCAFFOLD,2,3,highest_validation_average_precision,80,result/splits_iid_scaling/splits_iid_2_clients.json/SCAFFOLD/bestPRROC/run_3/model_round_80_run_3.pt,minimum_recall,0.5827676653862,0.8,24659,15268,0.8238305159565692,0.4100012993632136,0.8209823462113135,0.4081947434442654,2828,6618,15215,707,0.3559433727605108,0.8,0.6968808684102047,0.29938598348507306,0.43571373545951775,0.7484404342051023,5648,13453,30215,1421,0.35086572666643095,0.798981468383081,0.6919254373912247,0.29569132506151513,0.4316392816201758,0.7068411612826931,0.7454534528871528,0.3080745626087753,0.20101853161691896,0.3764708201115557,308.0745626087753,25368,50737
SCAFFOLD,2,4,highest_validation_average_precision,80,result/splits_iid_scaling/splits_iid_2_clients.json/SCAFFOLD/bestPRROC/run_4/model_round_80_run_4.pt,mcc_optimal,0.7436056733131409,,24661,,0.8253653828849065,0.41221317860373696,0.8229958511135209,0.41554768607608367,2121,3319,18514,1414,0.3779906637325699,0.6,0.8479824119452205,0.38988970588235294,0.47264623955431756,0.7239912059726102,4174,6857,36811,2895,0.3638763167030878,0.5904654123638421,0.8429742603279289,0.37838817876892394,0.46121546961325965,0.807793129274494,0.7167198363458855,0.15702573967207112,0.4095345876361579,0.2174152985001084,157.02573967207113,25368,50737
SCAFFOLD,2,4,highest_validation_average_precision,80,result/splits_iid_scaling/splits_iid_2_clients.json/SCAFFOLD/bestPRROC/run_4/model_round_80_run_4.pt,minimum_recall,0.5873737931251526,0.8,24661,15337,0.8253653828849065,0.41221317860373696,0.8229958511135209,0.41554768607608367,2828,6547,15286,707,0.35882787255925264,0.8,0.7001328264553657,0.30165333333333333,0.4381099922540666,0.7500664132276829,5635,13346,30322,1434,0.3517448937525208,0.797142452963644,0.6943757442520839,0.29687582319161265,0.4326295585412668,0.7086938526124918,0.7457590986078639,0.3056242557479161,0.20285754703635595,0.3741056822437275,305.6242557479161,25368,50737
SCAFFOLD,2,5,highest_validation_average_precision,79,result/splits_iid_scaling/splits_iid_2_clients.json/SCAFFOLD/bestPRROC/run_5/model_round_79_run_5.pt,mcc_optimal,0.6704472899436951,,24661,,0.8244578380144354,0.40898907852386623,0.8215340663867707,0.4069903818653451,2496,4785,17048,1039,0.37275957242162444,0.7060820367751061,0.7808363486465443,0.34281005356407085,0.46153846153846156,0.7434591927108252,4956,9858,33810,2113,0.3620286391947587,0.7010892629792049,0.7742511679032701,0.33454840016200893,0.4529543481241146,0.764057788201904,0.7376702154412376,0.2257488320967299,0.29891073702079507,0.2919762697833928,225.7488320967299,25368,50737
SCAFFOLD,2,5,highest_validation_average_precision,79,result/splits_iid_scaling/splits_iid_2_clients.json/SCAFFOLD/bestPRROC/run_5/model_round_79_run_5.pt,minimum_recall,0.5835424065589905,0.8,24661,15345,0.8244578380144354,0.40898907852386623,0.8215340663867707,0.4069903818653451,2828,6538,15295,707,0.35919507600264333,0.8,0.7005450464892594,0.30194319880418535,0.43841562669560497,0.7502725232446297,5605,13403,30265,1464,0.34767448072872165,0.7928985712264818,0.6930704405972337,0.29487584175084175,0.4298807378149327,0.7069791276583164,0.7429845059118577,0.30692955940276634,0.20710142877351823,0.37463783826398883,306.92955940276636,25368,50737
