scaling_point,run,round,roc_auc,pr_auc,loss,n_samples
128,1,1,0.584952,0.182911,0.725661,25368
128,1,2,0.603456,0.193556,0.710956,25368
128,1,3,0.629325,0.209966,0.690458,25368
128,1,4,0.657052,0.229525,0.666838,25368
128,1,5,0.684548,0.250113,0.642569,25368
128,1,6,0.709638,0.270301,0.619547,25368
128,1,7,0.731913,0.289223,0.599620,25368
128,1,8,0.749365,0.304917,0.582933,25368
128,1,9,0.762931,0.317934,0.569415,25368
128,1,10,0.773365,0.328336,0.558604,25368
128,1,11,0.781354,0.336709,0.549883,25368
128,1,12,0.787297,0.343354,0.543090,25368
128,1,13,0.791487,0.348312,0.538004,25368
128,1,14,0.794866,0.352495,0.534248,25368
128,1,15,0.797116,0.355556,0.531191,25368
128,1,16,0.799453,0.358517,0.529187,25368
128,1,17,0.800468,0.360283,0.527713,25368
128,1,18,0.802368,0.362451,0.527667,25368
128,1,19,0.802483,0.363278,0.528045,25368
128,1,20,0.804317,0.365390,0.532715,25368
128,1,21,0.803195,0.364960,0.537162,25368
128,1,22,0.804947,0.366955,0.555257,25368
128,1,23,0.803121,0.365875,0.559765,25368
128,1,24,0.804170,0.366700,0.600370,25368
128,1,25,0.804384,0.369400,0.579478,25368
128,1,26,0.804100,0.367444,0.626654,25368
128,1,27,0.807795,0.375728,0.567655,25368
128,1,28,0.806718,0.371722,0.591424,25368
128,1,29,0.809994,0.379058,0.549697,25368
128,1,30,0.809215,0.375482,0.557188,25368
128,1,31,0.811173,0.380480,0.535644,25368
128,1,32,0.810846,0.377972,0.538152,25368
128,1,33,0.811940,0.381244,0.526701,25368
128,1,34,0.811906,0.379525,0.528109,25368
128,1,35,0.812570,0.381873,0.520588,25368
128,1,36,0.812690,0.380838,0.521189,25368
128,1,37,0.813103,0.382534,0.516122,25368
128,1,38,0.813322,0.382012,0.516382,25368
128,1,39,0.813618,0.383218,0.513011,25368
128,1,40,0.813910,0.383273,0.512682,25368
128,1,41,0.814102,0.384114,0.510704,25368
128,1,42,0.814341,0.384081,0.510698,25368
128,1,43,0.814524,0.384812,0.509032,25368
128,1,44,0.814749,0.384908,0.508906,25368
128,1,45,0.814891,0.385390,0.507769,25368
128,1,46,0.815115,0.385655,0.507300,25368
128,1,47,0.815253,0.386177,0.506765,25368
128,1,48,0.815440,0.386396,0.506581,25368
128,1,49,0.815598,0.386892,0.506031,25368
128,1,50,0.815778,0.387069,0.505873,25368
128,1,51,0.815914,0.387621,0.505440,25368
128,1,52,0.816094,0.387699,0.505153,25368
128,1,53,0.816223,0.388259,0.504766,25368
128,1,54,0.816399,0.388432,0.504482,25368
128,1,55,0.816559,0.389018,0.504095,25368
128,1,56,0.816694,0.389181,0.503939,25368
128,1,57,0.816816,0.389534,0.503561,25368
128,1,58,0.816942,0.389809,0.503373,25368
128,1,59,0.817080,0.390183,0.503137,25368
128,1,60,0.817213,0.390498,0.502939,25368
128,1,61,0.817301,0.390721,0.502745,25368
128,1,62,0.817420,0.390940,0.502573,25368
128,1,63,0.817541,0.391194,0.502383,25368
128,1,64,0.817664,0.391469,0.502217,25368
128,1,65,0.817786,0.391815,0.502050,25368
128,1,66,0.817869,0.392011,0.501924,25368
128,1,67,0.817971,0.392276,0.501751,25368
128,1,68,0.818054,0.392474,0.501634,25368
128,1,69,0.818137,0.392711,0.501498,25368
128,1,70,0.818228,0.392988,0.501380,25368
128,1,71,0.818300,0.393139,0.501281,25368
128,1,72,0.818361,0.393283,0.501184,25368
128,1,73,0.818429,0.393494,0.501095,25368
128,1,74,0.818481,0.393629,0.501018,25368
128,1,75,0.818525,0.393734,0.500951,25368
128,1,76,0.818570,0.393848,0.500884,25368
128,1,77,0.818627,0.394054,0.500816,25368
128,1,78,0.818663,0.394143,0.500758,25368
128,1,79,0.818702,0.394273,0.500704,25368
128,1,80,0.818738,0.394375,0.500648,25368
128,2,1,0.523443,0.154128,0.899588,25368
128,2,2,0.561371,0.170973,0.812117,25368
128,2,3,0.607227,0.195313,0.750504,25368
128,2,4,0.648221,0.222734,0.702799,25368
128,2,5,0.684001,0.251743,0.661116,25368
128,2,6,0.714693,0.279853,0.628955,25368
128,2,7,0.737086,0.303076,0.604890,25368
128,2,8,0.753859,0.321273,0.587575,25368
128,2,9,0.765677,0.334872,0.574108,25368
128,2,10,0.774327,0.344666,0.564902,25368
128,2,11,0.781032,0.353070,0.557943,25368
128,2,12,0.783936,0.354983,0.566966,25368
128,2,13,0.786362,0.360443,0.607482,25368
128,2,14,0.772692,0.336244,0.843100,25368
128,2,15,0.780390,0.355296,0.926655,25368
128,2,16,0.779855,0.344345,0.878451,25368
128,2,17,0.800963,0.381890,0.702284,25368
128,2,18,0.786451,0.351354,0.805147,25368
128,2,19,0.805385,0.385552,0.634600,25368
128,2,20,0.795603,0.363013,0.666194,25368
128,2,21,0.807297,0.386176,0.588470,25368
128,2,22,0.800384,0.369183,0.602449,25368
128,2,23,0.808080,0.385241,0.563187,25368
128,2,24,0.802801,0.371854,0.574250,25368
128,2,25,0.808449,0.384298,0.550633,25368
128,2,26,0.804193,0.373110,0.560790,25368
128,2,27,0.808832,0.383758,0.543168,25368
128,2,28,0.805411,0.374305,0.550989,25368
128,2,29,0.809456,0.383506,0.535233,25368
128,2,30,0.806726,0.375763,0.540337,25368
128,2,31,0.809859,0.383281,0.529956,25368
128,2,32,0.807633,0.376748,0.534546,25368
128,2,33,0.810382,0.383419,0.525696,25368
128,2,34,0.808731,0.378343,0.527678,25368
128,2,35,0.810932,0.383646,0.521258,25368
128,2,36,0.809523,0.379347,0.523338,25368
128,2,37,0.811375,0.383849,0.518351,25368
128,2,38,0.810178,0.380146,0.520140,25368
128,2,39,0.811821,0.384244,0.516174,25368
128,2,40,0.810858,0.381137,0.517989,25368
128,2,41,0.812283,0.384815,0.514333,25368
128,2,42,0.811510,0.382063,0.515307,25368
128,2,43,0.812673,0.385134,0.512614,25368
128,2,44,0.812146,0.383163,0.512986,25368
128,2,45,0.813083,0.385525,0.510849,25368
128,2,46,0.812655,0.383958,0.511434,25368
128,2,47,0.813444,0.385904,0.509790,25368
128,2,48,0.813129,0.384655,0.510094,25368
128,2,49,0.813754,0.386226,0.508817,25368
128,2,50,0.813602,0.385484,0.508874,25368
128,2,51,0.814056,0.386577,0.507978,25368
128,2,52,0.813931,0.385928,0.508200,25368
128,2,53,0.814374,0.387059,0.507430,25368
128,2,54,0.814331,0.386748,0.507467,25368
128,2,55,0.814632,0.387388,0.506859,25368
128,2,56,0.814678,0.387369,0.506873,25368
128,2,57,0.815013,0.388197,0.506377,25368
128,2,58,0.815010,0.387971,0.506370,25368
128,2,59,0.815267,0.388540,0.505927,25368
128,2,60,0.815272,0.388375,0.506018,25368
128,2,61,0.815551,0.389002,0.505514,25368
128,2,62,0.815582,0.388910,0.505488,25368
128,2,63,0.815845,0.389516,0.505097,25368
128,2,64,0.815903,0.389541,0.505023,25368
128,2,65,0.816092,0.389949,0.504726,25368
128,2,66,0.816184,0.390103,0.504602,25368
128,2,67,0.816296,0.390294,0.504403,25368
128,2,68,0.816375,0.390398,0.504270,25368
128,2,69,0.816443,0.390475,0.504165,25368
128,2,70,0.816569,0.390728,0.503981,25368
128,2,71,0.816645,0.390920,0.503875,25368
128,2,72,0.816706,0.391000,0.503795,25368
128,2,73,0.816785,0.391129,0.503671,25368
128,2,74,0.816848,0.391239,0.503592,25368
128,2,75,0.816913,0.391386,0.503509,25368
128,2,76,0.816972,0.391472,0.503420,25368
128,2,77,0.817024,0.391567,0.503346,25368
128,2,78,0.817050,0.391601,0.503292,25368
128,2,79,0.817096,0.391678,0.503223,25368
128,2,80,0.817144,0.391773,0.503164,25368
128,3,1,0.604683,0.207830,0.746351,25368
128,3,2,0.629442,0.226040,0.721618,25368
128,3,3,0.656482,0.248072,0.697621,25368
128,3,4,0.679344,0.268820,0.672798,25368
128,3,5,0.701815,0.289995,0.647730,25368
128,3,6,0.721915,0.309307,0.624887,25368
128,3,7,0.741530,0.327011,0.605628,25368
128,3,8,0.754536,0.339533,0.589783,25368
128,3,9,0.767894,0.350909,0.577640,25368
128,3,10,0.774168,0.357615,0.567996,25368
128,3,11,0.784572,0.365029,0.562995,25368
128,3,12,0.781685,0.366253,0.569253,25368
128,3,13,0.794686,0.369757,0.637476,25368
128,3,14,0.755679,0.347513,0.834525,25368
128,3,15,0.790545,0.361952,1.033279,25368
128,3,16,0.787353,0.383968,0.757704,25368
128,3,17,0.796616,0.368827,0.962230,25368
128,3,18,0.800400,0.395009,0.658413,25368
128,3,19,0.805425,0.380913,0.700077,25368
128,3,20,0.804302,0.396214,0.600827,25368
128,3,21,0.808289,0.385285,0.613155,25368
128,3,22,0.805798,0.395265,0.572707,25368
128,3,23,0.809561,0.386910,0.578349,25368
128,3,24,0.806646,0.393959,0.556420,25368
128,3,25,0.810064,0.387141,0.562208,25368
128,3,26,0.807080,0.392825,0.548458,25368
128,3,27,0.810493,0.387362,0.552720,25368
128,3,28,0.807614,0.392356,0.543578,25368
128,3,29,0.810863,0.387408,0.547976,25368
128,3,30,0.807950,0.391972,0.541455,25368
128,3,31,0.811211,0.387449,0.544658,25368
128,3,32,0.808560,0.391893,0.537658,25368
128,3,33,0.811647,0.387938,0.541250,25368
128,3,34,0.809286,0.392247,0.534324,25368
128,3,35,0.812107,0.388641,0.535996,25368
128,3,36,0.810035,0.392430,0.530171,25368
128,3,37,0.812476,0.389106,0.531550,25368
128,3,38,0.810791,0.392668,0.526054,25368
128,3,39,0.812956,0.390130,0.526060,25368
128,3,40,0.811492,0.393111,0.522655,25368
128,3,41,0.813311,0.390805,0.522317,25368
128,3,42,0.812094,0.393310,0.519391,25368
128,3,43,0.813581,0.391264,0.519492,25368
128,3,44,0.812542,0.393524,0.517352,25368
