scaling_point,run,round,roc_auc,pr_auc,loss,n_samples
64,1,1,0.602598,0.193753,0.811278,25368
64,1,2,0.624898,0.209479,0.737159,25368
64,1,3,0.707511,0.268075,0.645173,25368
64,1,4,0.769486,0.323710,0.593253,25368
64,1,5,0.794679,0.359158,0.557945,25368
64,1,6,0.801465,0.371527,0.545075,25368
64,1,7,0.798702,0.369149,0.544788,25368
64,1,8,0.795807,0.359247,0.544988,25368
64,1,9,0.802539,0.365122,0.538571,25368
64,1,10,0.805951,0.371348,0.547745,25368
64,1,11,0.803806,0.364797,0.660954,25368
64,1,12,0.816620,0.395835,0.580507,25368
64,1,13,0.814390,0.384688,0.513926,25368
64,1,14,0.810459,0.375361,0.540060,25368
64,1,15,0.815231,0.386224,0.504897,25368
64,1,16,0.813774,0.383615,0.527567,25368
64,1,17,0.817447,0.390402,0.504211,25368
64,1,18,0.817430,0.392760,0.517348,25368
64,1,19,0.820183,0.400982,0.501032,25368
64,1,20,0.821720,0.406240,0.502713,25368
64,1,21,0.822014,0.408814,0.504078,25368
64,1,22,0.821652,0.409548,0.496936,25368
64,1,23,0.821209,0.408737,0.503379,25368
64,1,24,0.822241,0.411176,0.500975,25368
64,1,25,0.823636,0.414245,0.495060,25368
64,1,26,0.823835,0.413152,0.498265,25368
64,1,27,0.823527,0.411020,0.496843,25368
64,1,28,0.823389,0.410342,0.493518,25368
64,1,29,0.823507,0.411261,0.495874,25368
64,1,30,0.824312,0.414061,0.494956,25368
64,1,31,0.825691,0.418154,0.491120,25368
64,1,32,0.826905,0.421823,0.491532,25368
64,1,33,0.827547,0.423886,0.491986,25368
64,1,34,0.827655,0.424374,0.489935,25368
64,1,35,0.827474,0.423986,0.490069,25368
64,1,36,0.827600,0.424040,0.490794,25368
64,1,37,0.828177,0.425114,0.488807,25368
64,1,38,0.828690,0.425818,0.487805,25368
64,1,39,0.828757,0.425575,0.488734,25368
64,1,40,0.828692,0.425141,0.488325,25368
64,1,41,0.828675,0.424976,0.487668,25368
64,1,42,0.828702,0.425087,0.488153,25368
64,1,43,0.828804,0.425522,0.487917,25368
64,1,44,0.828949,0.426211,0.487282,25368
64,1,45,0.829095,0.426551,0.487632,25368
64,2,1,0.392209,0.109927,1.001137,25368
64,2,2,0.497116,0.149246,0.849611,25368
64,2,3,0.671234,0.259965,0.665802,25368
64,2,4,0.775234,0.342549,0.580650,25368
64,2,5,0.801660,0.370874,0.564089,25368
64,2,6,0.807901,0.378845,0.559000,25368
64,2,7,0.806176,0.377997,0.554950,25368
64,2,8,0.805871,0.379620,0.549034,25368
64,2,9,0.798104,0.369268,0.542059,25368
64,2,10,0.807425,0.380367,0.561913,25368
64,2,11,0.804373,0.376118,0.566573,25368
64,2,12,0.804425,0.366532,0.561332,25368
64,2,13,0.809078,0.372934,0.515583,25368
64,2,14,0.814088,0.385563,0.550506,25368
64,2,15,0.813389,0.381374,0.504183,25368
64,2,16,0.811146,0.376853,0.528218,25368
64,2,17,0.814997,0.384842,0.505915,25368
64,2,18,0.817237,0.389751,0.510347,25368
64,2,19,0.818037,0.392015,0.511287,25368
64,2,20,0.819418,0.395369,0.498036,25368
64,2,21,0.819696,0.396635,0.506488,25368
64,2,22,0.821035,0.400193,0.502050,25368
64,2,23,0.822758,0.404967,0.495419,25368
64,2,24,0.823762,0.408062,0.500348,25368
64,2,25,0.824289,0.409386,0.497883,25368
64,2,26,0.824329,0.409475,0.492771,25368
64,2,27,0.824023,0.409078,0.495827,25368
64,2,28,0.823993,0.409553,0.496594,25368
64,2,29,0.824486,0.411424,0.492473,25368
64,2,30,0.825157,0.413802,0.492344,25368
64,2,31,0.825765,0.416195,0.493978,25368
64,2,32,0.826193,0.417690,0.491693,25368
64,2,33,0.826329,0.418261,0.489687,25368
64,2,34,0.826377,0.418486,0.491154,25368
