scaling_point,run,round,roc_auc,pr_auc,loss,n_samples
64,1,1,0.735891,0.310664,0.634756,25368
64,1,2,0.756389,0.327666,0.620877,25368
64,1,3,0.767927,0.338354,0.611920,25368
64,1,4,0.775478,0.345917,0.604247,25368
64,1,5,0.780732,0.351583,0.597287,25368
64,1,6,0.784505,0.355759,0.591169,25368
64,1,7,0.787347,0.358988,0.585682,25368
64,1,8,0.789599,0.361809,0.580754,25368
64,1,9,0.791420,0.364145,0.576320,25368
64,1,10,0.792936,0.366112,0.572308,25368
64,1,11,0.794232,0.367868,0.568642,25368
64,1,12,0.795370,0.369498,0.565298,25368
64,1,13,0.796376,0.370825,0.562242,25368
64,1,14,0.797276,0.372044,0.559444,25368
64,1,15,0.798096,0.373143,0.556864,25368
64,1,16,0.798846,0.374254,0.554481,25368
64,1,17,0.799534,0.375219,0.552277,25368
64,1,18,0.800180,0.376152,0.550218,25368
64,1,19,0.800787,0.377046,0.548302,25368
64,1,20,0.801359,0.377915,0.546517,25368
64,1,21,0.801895,0.378628,0.544849,25368
64,1,22,0.802408,0.379396,0.543285,25368
64,1,23,0.802895,0.380143,0.541810,25368
64,1,24,0.803363,0.380853,0.540423,25368
64,1,25,0.803812,0.381529,0.539114,25368
64,1,26,0.804241,0.382186,0.537873,25368
64,1,27,0.804646,0.382823,0.536701,25368
64,1,28,0.805046,0.383414,0.535588,25368
64,1,29,0.805433,0.383982,0.534531,25368
64,1,30,0.805804,0.384587,0.533523,25368
64,1,31,0.806161,0.385148,0.532563,25368
64,1,32,0.806504,0.385711,0.531648,25368
64,1,33,0.806836,0.386237,0.530772,25368
64,1,34,0.807153,0.386690,0.529934,25368
64,1,35,0.807467,0.387188,0.529132,25368
64,1,36,0.807761,0.387647,0.528362,25368
64,1,37,0.808056,0.388112,0.527622,25368
64,1,38,0.808349,0.388519,0.526910,25368
64,1,39,0.808626,0.388937,0.526226,25368
64,1,40,0.808898,0.389324,0.525568,25368
64,1,41,0.809158,0.389745,0.524934,25368
64,1,42,0.809413,0.390190,0.524321,25368
64,1,43,0.809665,0.390573,0.523730,25368
64,1,44,0.809907,0.390888,0.523158,25368
64,1,45,0.810140,0.391285,0.522605,25368
64,1,46,0.810375,0.391634,0.522070,25368
64,1,47,0.810596,0.391921,0.521552,25368
64,1,48,0.810812,0.392233,0.521051,25368
64,1,49,0.811025,0.392578,0.520564,25368
64,1,50,0.811233,0.392834,0.520092,25368
64,1,51,0.811438,0.393170,0.519634,25368
64,1,52,0.811638,0.393440,0.519190,25368
64,1,53,0.811834,0.393683,0.518758,25368
64,1,54,0.812032,0.393987,0.518338,25368
64,1,55,0.812222,0.394265,0.517930,25368
64,1,56,0.812408,0.394526,0.517533,25368
64,1,57,0.812585,0.394744,0.517147,25368
64,1,58,0.812758,0.394989,0.516770,25368
64,1,59,0.812932,0.395225,0.516404,25368
64,1,60,0.813098,0.395435,0.516046,25368
64,1,61,0.813258,0.395627,0.515699,25368
64,1,62,0.813422,0.395813,0.515361,25368
64,1,63,0.813574,0.396022,0.515030,25368
64,1,64,0.813728,0.396191,0.514708,25368
64,1,65,0.813875,0.396367,0.514394,25368
64,1,66,0.814019,0.396589,0.514087,25368
64,1,67,0.814163,0.396829,0.513788,25368
64,1,68,0.814304,0.397021,0.513496,25368
64,1,69,0.814439,0.397226,0.513210,25368
64,1,70,0.814574,0.397391,0.512931,25368
64,1,71,0.814703,0.397588,0.512659,25368
64,1,72,0.814833,0.397735,0.512393,25368
64,1,73,0.814953,0.397899,0.512133,25368
64,1,74,0.815077,0.398072,0.511879,25368
64,1,75,0.815193,0.398210,0.511631,25368
64,1,76,0.815311,0.398372,0.511388,25368
64,1,77,0.815421,0.398515,0.511150,25368
64,1,78,0.815533,0.398622,0.510918,25368
64,1,79,0.815642,0.398721,0.510690,25368
64,1,80,0.815750,0.398833,0.510468,25368
64,2,1,0.700804,0.258484,0.650846,25368
64,2,2,0.740057,0.297718,0.633761,25368
64,2,3,0.760895,0.321040,0.623056,25368
64,2,4,0.775087,0.337682,0.614041,25368
64,2,5,0.783919,0.349123,0.605823,25368
64,2,6,0.789802,0.357443,0.598470,25368
64,2,7,0.793853,0.363925,0.591784,25368
64,2,8,0.796711,0.368794,0.585699,25368
64,2,9,0.798832,0.372640,0.580167,25368
64,2,10,0.800443,0.375671,0.575096,25368
64,2,11,0.801706,0.378142,0.570457,25368
64,2,12,0.802728,0.380206,0.566224,25368
64,2,13,0.803572,0.381905,0.562344,25368
64,2,14,0.804277,0.383299,0.558775,25368
64,2,15,0.804883,0.384532,0.555489,25368
64,2,16,0.805428,0.385701,0.552452,25368
64,2,17,0.805915,0.386662,0.549655,25368
64,2,18,0.806343,0.387419,0.547060,25368
64,2,19,0.806742,0.388132,0.544649,25368
64,2,20,0.807112,0.388746,0.542413,25368
64,2,21,0.807459,0.389359,0.540343,25368
64,2,22,0.807793,0.389936,0.538411,25368
64,2,23,0.808097,0.390482,0.536610,25368
64,2,24,0.808380,0.390952,0.534934,25368
64,2,25,0.808648,0.391386,0.533360,25368
64,2,26,0.808909,0.391809,0.531889,25368
64,2,27,0.809157,0.392233,0.530518,25368
64,2,28,0.809393,0.392598,0.529230,25368
64,2,29,0.809624,0.392931,0.528022,25368
64,2,30,0.809851,0.393291,0.526885,25368
64,2,31,0.810068,0.393658,0.525817,25368
64,2,32,0.810287,0.393960,0.524808,25368
64,2,33,0.810497,0.394252,0.523857,25368
64,2,34,0.810701,0.394566,0.522961,25368
64,2,35,0.810902,0.394891,0.522111,25368
64,2,36,0.811100,0.395187,0.521305,25368
64,2,37,0.811287,0.395449,0.520543,25368
64,2,38,0.811472,0.395698,0.519823,25368
64,2,39,0.811656,0.395971,0.519136,25368
64,2,40,0.811830,0.396172,0.518486,25368
64,2,41,0.812003,0.396386,0.517865,25368
64,2,42,0.812169,0.396600,0.517276,25368
64,2,43,0.812333,0.396811,0.516715,25368
64,2,44,0.812492,0.397033,0.516179,25368
64,2,45,0.812642,0.397211,0.515666,25368
64,2,46,0.812798,0.397452,0.515177,25368
64,2,47,0.812953,0.397647,0.514708,25368
64,2,48,0.813103,0.397838,0.514260,25368
64,2,49,0.813254,0.398035,0.513829,25368
64,2,50,0.813396,0.398198,0.513417,25368
64,2,51,0.813539,0.398373,0.513020,25368
64,2,52,0.813681,0.398598,0.512639,25368
64,2,53,0.813816,0.398771,0.512272,25368
64,2,54,0.813944,0.398930,0.511919,25368
64,2,55,0.814078,0.399128,0.511579,25368
64,2,56,0.814204,0.399287,0.511251,25368
64,2,57,0.814330,0.399438,0.510935,25368
64,2,58,0.814457,0.399617,0.510629,25368
64,2,59,0.814581,0.399748,0.510335,25368
64,2,60,0.814697,0.399920,0.510049,25368
64,2,61,0.814817,0.400136,0.509773,25368
64,2,62,0.814931,0.400265,0.509505,25368
64,2,63,0.815044,0.400410,0.509246,25368
