strategy,scaling_point,n_runs,ap_fraction,first_round_reaching_fraction_mean,first_round_reaching_fraction_std,first_round_reaching_fraction_min,first_round_reaching_fraction_max,late_mean_test_ap_mean,late_mean_test_ap_std,late_test_ap_slope_per_round_mean,late_test_ap_slope_per_round_std,late_test_ap_slope_per_round_min,late_test_ap_slope_per_round_max
FedProx,2,5,0.99,28.4,4.878524367060187,23.0,34.0,0.4249936772201307,0.0015759543789194436,6.774658433661589e-05,3.100505015847677e-05,4.159840892397524e-05,0.0001102829168767
FedProx,4,5,0.99,44.4,3.209361307176242,41.0,48.0,0.42098557253074603,0.002015953375772803,9.453120689348259e-05,6.52626333076056e-05,4.445236271971366e-05,0.0002017447479884
FedProx,8,5,0.99,50.0,5.1478150704935,44.0,57.0,0.4155783079274672,0.0030397927640330715,6.40142210553116e-05,1.3061431556134286e-05,4.459872335801328e-05,8.036331205139167e-05
FedProx,16,5,0.99,57.2,1.9235384061671343,55.0,60.0,0.40424518042181656,0.0017747370348068815,0.00010832090918085343,1.724261700896271e-05,8.49253961264219e-05,0.0001229157427019
FedProx,32,5,0.99,51.4,16.56200470957547,22.0,62.0,0.3893002305870794,0.0052144240330117666,0.00010640034374662353,2.6476091504863103e-05,8.116503014186765e-05,0.0001454299381312
FedProx,64,5,0.99,60.2,3.1144823004794877,55.0,63.0,0.38900634826129554,0.0043504559608687834,0.00012715267859642407,2.948442000370718e-05,8.176258919092048e-05,0.0001560566201589
FedProx,128,5,0.99,55.8,3.63318042491699,52.0,60.0,0.3906912462365993,0.002955851973547992,9.964892958921799e-05,2.3478225460504136e-05,7.401372378276556e-05,0.0001273428748023
FedProx,256,5,0.99,50.4,17.770762504743573,20.0,61.0,0.39019488927700874,0.005253631928316016,0.00010713550620142565,2.7129276015454688e-05,6.762147593741422e-05,0.0001288375979735
FedProx,512,5,0.99,58.8,3.271085446759225,56.0,64.0,0.39179541687542546,0.005412159518801465,0.00012187564920719158,3.8274857103320656e-05,8.600450128252969e-05,0.0001842175502007
FedProx,1024,5,0.99,56.8,4.919349550499537,49.0,61.0,0.394910128941705,0.0033958830540315485,0.00010736544541707178,2.518142502525135e-05,7.147577132515883e-05,0.0001360995971601
FedProx,2048,5,0.99,59.8,1.3038404810405297,58.0,61.0,0.39000329963948116,0.0035903830765826716,0.00011467533551715999,1.3400313479238235e-05,0.0001000512608256,0.0001343944309472
FedProx,4096,5,0.99,56.0,5.244044240850758,48.0,62.0,0.3937880540665345,0.00459661308851673,0.00010710121723904457,3.490750418615768e-05,5.3267385096226355e-05,0.0001486446726716
FedProx,8192,5,0.99,61.0,1.7320508075688772,60.0,64.0,0.39072226135281024,0.0017979836979344806,0.00011363375607721516,2.9035271380695665e-05,8.977047090017579e-05,0.0001639370719922
FedProx,16384,5,0.99,60.4,6.387487769068525,52.0,70.0,0.3944984072560242,0.004817831658724042,0.00011153979272780207,2.7984900025942543e-05,7.452438260494979e-05,0.0001502375579135
