strategy,scaling_point,run,n_evaluated_checkpoints,first_evaluated_round,final_evaluated_round,best_test_ap,best_test_ap_round,ap_fraction,ap_fraction_threshold,first_round_reaching_fraction,test_ap_at_first_fraction_round,rounds_from_fraction_to_end,late_window_start_round,late_window_end_round,late_window_expected_rounds,late_window_observed_rounds,late_window_complete,late_window_missing_rounds,late_mean_test_ap,late_test_ap_slope_per_round,late_fitted_ap_change,late_test_ap_std,final_round_test_ap
SCAFFOLD,2,1,80,1,80,0.40847118202675736,80,0.99,0.40438647020648977,57,0.4045345348385137,23,70,80,11,11,True,,0.4076621520800218,0.00016982006415877267,0.0016982006415877104,0.0005652980592597964,0.40847118202675736
SCAFFOLD,2,2,80,1,80,0.40310948379514644,80,0.99,0.399078388957195,56,0.39909173690242966,24,70,80,11,11,True,,0.40218821017519546,0.0001678629473325817,0.00167862947332581,0.0005614133823387328,0.40310948379514644
SCAFFOLD,2,3,80,1,80,0.4081947434442654,80,0.99,0.4041127960098227,52,0.40422405765346603,28,70,80,11,11,True,,0.4074786129723261,0.00014118135639852868,0.001411813563985287,0.0004735860339582266,0.4081947434442654
SCAFFOLD,2,4,80,1,80,0.41554768607608367,80,0.99,0.4113922092153228,55,0.41151235527294555,25,70,80,11,11,True,,0.4148262727555487,0.0001447670285668154,0.0014476702856681678,0.00048208487108257947,0.41554768607608367
SCAFFOLD,2,5,80,1,80,0.40703328290637686,80,0.99,0.4029629500773131,55,0.4030268341735052,25,70,80,11,11,True,,0.40633520517379257,0.00015418910439176536,0.0015418910439176092,0.0005139956339914915,0.40703328290637686
SCAFFOLD,4,1,80,1,80,0.4012198295582819,80,0.99,0.3972076312626991,59,0.3972890787219321,21,70,80,11,11,True,,0.4003329217661236,0.0001746633002287434,0.00174663300228739,0.0005795239358208773,0.4012198295582819
SCAFFOLD,4,2,80,1,80,0.3996647102461169,80,0.99,0.3956680631436557,45,0.39580038965696623,35,70,80,11,11,True,,0.39918007965976354,0.00010025484750855953,0.001002548475085574,0.00033302857408927343,0.3996647102461169
SCAFFOLD,4,3,80,1,80,0.40549803172949317,80,0.99,0.4014430514121982,40,0.40155187080855503,40,70,80,11,11,True,,0.4051591619182611,6.78318423946914e-05,0.0006783184239469442,0.00022536843211813212,0.40549803172949317
SCAFFOLD,4,4,80,1,80,0.40234043977135137,80,0.99,0.39831703537363783,46,0.39841333018440006,34,70,80,11,11,True,,0.4018206570769147,0.00011027874146210415,0.0011027874146210537,0.00036705231783358284,0.40234043977135137
SCAFFOLD,4,5,80,1,80,0.4006290022614993,80,0.99,0.3966227122388843,54,0.3967803040381548,26,70,80,11,11,True,,0.3999846602403163,0.0001270987291217974,0.0012709872912179954,0.00042303047420575037,0.4006290022614993
SCAFFOLD,8,1,80,1,80,0.38578771758430974,80,0.99,0.3819298404084666,55,0.38202845755240245,25,70,80,11,11,True,,0.3851306570368486,0.00012339522892973736,0.001233952289297402,0.00041224851610332375,0.38578771758430974
SCAFFOLD,8,2,80,1,80,0.40072916723354135,79,0.99,0.3967218755612059,46,0.39674304306241925,34,70,80,11,11,True,,0.40030888708374895,9.409492360613627e-05,0.0009409492360613614,0.00031408291578783123,0.4007229973691687
SCAFFOLD,8,3,80,1,80,0.40026709782527553,80,0.99,0.3962644268470228,47,0.39648627325938146,33,70,80,11,11,True,,0.39988476387995875,8.158052614376479e-05,0.0008158052614376521,0.0002734034217329626,0.40026709782527553
SCAFFOLD,8,4,80,1,80,0.39502881461206135,80,0.99,0.3910785264659407,45,0.3910953458528327,35,70,80,11,11,True,,0.39464345502162834,7.784785329774705e-05,0.0007784785329775223,0.000259365335206128,0.39502881461206135
SCAFFOLD,8,5,80,1,80,0.3925303627297499,80,0.99,0.3886050591024524,51,0.38874976494507363,29,70,80,11,11,True,,0.39193932530570225,0.00011903349607788317,0.0011903349607788605,0.0003950905448363344,0.3925303627297499
