split_file,number_of_clients,total_train_samples,mean_local_sample_size_per_client,min_local_sample_size_per_client,max_local_sample_size_per_client,mean_positive_samples_per_client,clients_without_positive_samples,clients_without_positive_samples_pct,global_positive_rate
splits_iid_2_clients.json,2,177575,88787.5,88787,88788,12371.0,0,0.0,0.13933267633394342
splits_iid_4_clients.json,4,177575,44393.75,44393,44394,6185.5,0,0.0,0.13933267633394342
splits_iid_8_clients.json,8,177575,22196.875,22196,22197,3092.75,0,0.0,0.13933267633394342
splits_iid_16_clients.json,16,177575,11098.4375,11098,11099,1546.375,0,0.0,0.13933267633394342
splits_iid_32_clients.json,32,177575,5549.21875,5549,5550,773.1875,0,0.0,0.13933267633394342
splits_iid_64_clients.json,64,177575,2774.609375,2774,2775,386.59375,0,0.0,0.13933267633394342
splits_iid_128_clients.json,128,177575,1387.3046875,1387,1388,193.296875,0,0.0,0.13933267633394342
splits_iid_256_clients.json,256,177575,693.65234375,693,694,96.6484375,0,0.0,0.13933267633394342
splits_iid_512_clients.json,512,177575,346.826171875,346,347,48.32421875,0,0.0,0.13933267633394342
splits_iid_1024_clients.json,1024,177575,173.4130859375,173,174,24.162109375,0,0.0,0.13933267633394342
splits_iid_2048_clients.json,2048,177575,86.70654296875,86,87,12.0810546875,0,0.0,0.13933267633394342
splits_iid_4096_clients.json,4096,177575,43.353271484375,43,44,6.04052734375,3,0.000732421875,0.13933267633394342
splits_iid_8192_clients.json,8192,177575,21.6766357421875,21,22,3.020263671875,287,0.0350341796875,0.13933267633394342
splits_iid_16384_clients.json,16384,177575,10.83831787109375,10,11,1.5101318359375,3183,0.19427490234375,0.13933267633394342
splits_iid_16384_clients_pre_adjustmend.json,16384,177575,10.83831787109375,10,11,1.5101318359375,3183,0.19427490234375,0.13933267633394342
splits_iid_32768_clients.json,32768,177575,5.419158935546875,5,6,0.75506591796875,14562,0.44439697265625,0.13933267633394342
splits_iid_65536_clients.json,65536,177575,2.7095794677734375,2,3,0.377532958984375,43692,0.66668701171875,0.13933267633394342
splits_iid_131072_clients.json,131072,177575,1.3547897338867188,1,2,0.1887664794921875,107224,0.81805419921875,0.13933267633394342
splits_iid_177575_clients.json,177575,177575,1.0,1,1,0.13933267633394342,152833,0.8606673236660566,0.13933267633394342
